viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,publishedAt,playlist_anme
172372,6062,1083,0,1424,Научна ли психология и что не так с психотерапией | Зона Брока // ток-шоу Александра Панчина,2019-06-02T13:56:48Z,🧠 💬 Зона Брока // ток-шоу Александра Панчина
45551,3191,56,0,465,Новый мозг из кожи с помощью ВИЧ | Зона Брока // ток-шоу Александра Панчина,2019-06-20T20:54:57Z,🧠 💬 Зона Брока // ток-шоу Александра Панчина
147770,6559,857,0,1573,"О правде и лжи ""Чернобыля"": ученый, два инженера, историк | Зона Брока // подкаст Александра Панчина",2019-07-25T16:02:11Z,🧠 💬 Зона Брока // ток-шоу Александра Панчина
62081,3114,96,0,576,"Зона Брока | Происхождение языка, эволюция слов, гений Зализняк | подкаст Александра Панчина",2019-11-04T08:01:09Z,🧠 💬 Зона Брока // ток-шоу Александра Панчина
53281,2786,78,0,522,«Первые в России ГМО-дети» | Зона Брока,2020-01-13T09:56:00Z,🧠 💬 Зона Брока // ток-шоу Александра Панчина
505555,25476,1395,0,1290,Происхождение БЕСКОНЕЧНОЙ нефти,2020-02-05T17:22:31Z,Иван Лозовой
191503,13352,1380,0,1471,Что ждёт нефть | Иван Лозовой,2019-12-26T13:24:40Z,Иван Лозовой
139332,9784,198,0,479,8 причин разводить БАКТЕРИИ | Иван Лозовой,2019-12-15T12:00:11Z,Иван Лозовой
140074,11057,272,0,458,3 МИФА О НАНОТЕХНОЛОГИЯХ | Иван Лозовой,2019-12-02T02:49:18Z,Иван Лозовой
349528,18930,533,0,1642,Навсегда проигранная БИТВА ЭКСТРАСЕНСОВ | SciOne и Премия имени Гарри Гудини,2019-11-10T21:50:02Z,Иван Лозовой
106771,8201,621,0,583,Самый трудный способ решать самые сложные проблемы | Иван Лозовой,2019-07-17T00:26:48Z,Иван Лозовой
176579,12708,886,0,1063,Лишние автомобилисты | Иван Лозовой,2019-04-20T17:08:47Z,Иван Лозовой
1023163,44338,4873,0,7996,Как взломать мир-симуляцию | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
Private video,2019-04-20T17:12:57Z,Иван Лозовой
517507,29140,771,0,1119,Самый совершенный материал | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
85066,8260,239,0,507,От этой песни гаснет огонь | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
65154,7881,63,0,269,Удивительная история Стивена Хокинга | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
104012,10535,118,0,402,Сколько вирусов в обычном дожде | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
187766,13466,243,0,674,5 загадок появления Вселенной | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
148236,13652,250,0,840,Война с коррупцией на опережение: научный подход | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
49477,4349,120,0,314,Мечты об ИИ против реальности | Точка входа,2019-04-20T17:12:57Z,Иван Лозовой
12009,1264,23,0,52,Присоединяйся к SciOne! Помоги создать больше научно-популярных роликов!,2019-04-20T17:12:57Z,Иван Лозовой
23929,3527,27,0,166,Большие каникулы,2019-04-20T17:12:57Z,Иван Лозовой
429049,29824,1086,0,2667,ПОЧЕМУ АСТРОЛОГИЯ НЕ РАБОТАЕТ? | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
238551,24820,432,0,919,ПОЧЕМУ НАСИЛИЯ ВСЁ БОЛЬШЕ? | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
13524,1890,31,0,52,"С новым годом, друзья! | Промежуточные итоги",2019-04-20T17:12:57Z,Иван Лозовой
183518,13639,393,0,678,"КАК ЛЕЧИТЬСЯ СИЛОЙ МЫСЛИ: ВЕРА, ЦЕЛИТЕЛИ, ПЛАЦЕБО, ГОМЕОПАТИЯ | Иван Лозовой",2019-04-20T17:12:57Z,Иван Лозовой
402841,29798,489,0,1095,КАК ОБМАНЫВАЮТ ПОЛИТИКИ | Иван Лозовой,2019-04-20T17:12:57Z,Иван Лозовой
77066,6962,65,0,267,"ВАШЕ ТЕЛО: ЧАСТИЦЫ, О КОТОРЫХ ВЫ НЕ ЗАДУМЫВАЕТЕСЬ | Иван Лозовой",2019-04-20T17:12:57Z,Иван Лозовой
80766,2691,91,0,197,БИТВЫ В КОСМОСЕ. Реальные звездные войны | КОСМОС,2019-04-20T17:12:57Z,Иван Лозовой
242132,12061,624,0,694,Почти вечная батарейка почти даром | feat. Дмитрий Побединский,2018-12-13T12:42:56Z,Спецпроект: введение в нанотехнологии
57230,4014,109,0,155,Нанолекарства: это вообще законно? | feat. Дмитрий Побединский,2018-12-13T12:43:05Z,Спецпроект: введение в нанотехнологии
106645,7408,239,0,388,Что могут 3D-принтеры | feat. Дмитрий Побединский,2018-12-13T12:43:13Z,Спецпроект: введение в нанотехнологии
137709,7000,123,0,185,Из ЭТОГО создают новые технологии | feat. Дмитрий Побединский,2018-12-13T12:43:20Z,Спецпроект: введение в нанотехнологии
136830,8069,97,0,434,Сверхспособности на поверхности | feat. Дмитрий Побединский,2018-12-25T10:07:18Z,Спецпроект: введение в нанотехнологии
601336,27771,871,0,1178,Неизбежный тупик нашей умной техники | feat. Дмитрий Побединский,2018-12-25T10:07:26Z,Спецпроект: введение в нанотехнологии
741525,39355,2866,0,3518,Что не так с АЛЬТЕРНАТИВНОЙ энергией? | Дмитрий Побединский,2019-09-28T12:16:22Z,Спецпроект: введение в нанотехнологии
492004,32654,953,0,2513,ФАТАЛЬНЫЙ баг «зелёной» энергии | Дмитрий Побединский,2019-10-13T20:32:40Z,Спецпроект: введение в нанотехнологии
